;address;name_location;latitude;longitude
1196;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
1198;Avenida Professora Izoraida Marques Peres, 600 - Parque Campolim Sorocaba - ;Tauste Campolim;-23.5377582;-47.4668379
1200;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
1202;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5147381;-47.4748611
1204;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
1206;Av. Washington Luiz, 2059 - Jardim America Sorocaba - ;Posto Shell - SERAUT AUTO POSTO LTDA;-23.5158924;-47.4739587
1208;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
1210;Pç Nove de Julho, 141 - Centro Sorocaba - ;Edifício Portal do Aveiro;-23.5032688;-47.4683771
1212;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
1214;R. Padre Luiz, 82 - Centro Sorocaba - ;Mercado Municipal;-23.4982069;-47.4600496
1216;R. Francisco Scarpa, 111 - Centro Sorocaba - ;Casa das Velas;-23.4976556;-47.4606658
1218;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1220;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5145393;-47.4745287
1222;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1224;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1226;Jardim America Sorocaba - ;Super Posto JC;-23.5162506;-47.4659026
1228;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1230;R. Visc. de Cairú, 750 - Vila Independencia Sorocaba - ;Bakery and Confectionery Panini & Co.;-23.5107974;-47.4722119
1232;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1234;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1236;Jardim America Sorocaba - ;Super Posto JC;-23.5162506;-47.4659026
1238;Avenida Professora Izoraida Marques Peres, 600 - Parque Campolim Sorocaba - ;Tauste Campolim;-23.5377582;-47.4668379
1240;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1242;Jardim Sao Carlos Sorocaba - ;Edificio RED SOROCABA;-23.5308552;-47.4757594
1244;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1246;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1248;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5145393;-47.4745287
1250;Jardim America Sorocaba - ;Super Posto JC;-23.5162506;-47.4659026
1252;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1254;Av. Moreira César, 217 - Centro Sorocaba - ;Minuto Pão de Açúcar Sorocaba;-23.5045942;-47.4653033
1256;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1258;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
1260;R. Visc. de Cairú, 750 - Vila Independencia Sorocaba - ;Bakery and Confectionery Panini & Co.;-23.5107974;-47.4722119
1262;Av. Gen. Carneiro, 1120 - Vila Lucy Sorocaba - ;Tauste General Carneiro;-23.5040484;-47.4793981
1264;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1266;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.470459
1270;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.470459
1272;Av. Dr. Afonso Vergueiro, 1700 - Centro Sorocaba - ;Sorocaba Shopping;-23.4965079;-47.4675713
1274;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.470459
1276;Av. Dr. Afonso Vergueiro, 2548 - Vila Augusta Sorocaba - ;Elda Bolos e Doces;-23.4998978;-47.475345
1278;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5145393;-47.4745287
1280;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.470459
1282;Av. Gen. Carneiro, 1120 - Vila Lucy Sorocaba - ;Tauste General Carneiro;-23.5040484;-47.4793981
1284;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704552
1286;Jardim America Sorocaba - ;Super Posto JC;-23.5162506;-47.4659026
1288;Rua Professor Sylla Mattos, 772 - Jardim Santa Cruz (Sacoma) São Paulo - ;Bela santa Cruz pães e doce;-23.6410212;-46.6006605
1290;Rua Olympia Semeraro, 675 - Jardim Santa Emilia São Paulo - ;Whirlpool;-23.6443587;-46.5957212
1292;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704552
1294;Avenida Professora Izoraida Marques Peres, 600 - Parque Campolim Sorocaba - ;Tauste Campolim;-23.5377582;-47.4668379
1296;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704552
1298;Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1274;-23.5150255;-47.4742725
1300;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
1302;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704552
1306;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704552
1308;R. Padre Luiz, 82 - Centro Sorocaba - ;Mercado Municipal;-23.4982069;-47.4600496
1310;Largo de São Bento, 62 - Centro Sorocaba - ;monastery of St. benedict;-23.5020545;-47.4598774
1312;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
1314;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704552
1316;Jardim America Sorocaba - ;Super Posto JC;-23.5162506;-47.4659026
1318;R. Assunção, 491 - Jardim America Sorocaba - ;Nova Esplanada Mercearia;-23.5199214;-47.4687643
1320;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704552
1322;Av. Gen. Carneiro, 1120 - Vila Lucy Sorocaba - ;Tauste General Carneiro;-23.5040484;-47.4793981
1324;Av. Salvador Milego, 93 - Jardim Vera Cruz Sorocaba - ;Rede Bom Lugar;-23.511712;-47.4897769
1326;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704552
1330;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704552
1332;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171757;-47.4704552
1334;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171757;-47.4704552
1336;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171757;-47.4704552
1338;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171757;-47.4704552
1340;R. Ilda do Amaral Cussiol, 12 - Jardim Isaura Sorocaba - ;Hmx veiculos;-23.524073;-47.4636822
1342;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171757;-47.4704552
1344;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171757;-47.4704552
1346;R. Padre Luiz, 379 - Centro Sorocaba - ;Commercial Hope - Sorocaba Center;-23.4986111;-47.4608333
1348;Av. Antônio Carlos Comitre, 1160 - Parque Campolim Sorocaba - ;Agência Itaú;-23.5252464;-47.4652826
1350;R. Martinica, 112 - Jardim America Sorocaba - ;Construtora Verônica;-23.5197453;-47.468969
1352;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171757;-47.4704552
